#timestamp x y z qx qy qz qw
1716306539.496209 -7.580731 -4.272982 0.354776 -0.179701 0.655701 0.607389 -0.410904
1716306540.096293 -7.471009 -4.323217 0.351473 -0.167942 0.683306 0.626028 -0.336120
1716306540.496350 -7.421535 -4.390348 0.324001 -0.200401 0.681107 0.655421 -0.257597
1716306541.096434 -7.418085 -4.409828 0.288298 -0.245824 0.652194 0.695511 -0.174580
1716306541.496491 -7.420739 -4.357543 0.269580 -0.266748 0.642519 0.703114 -0.147129
1716306542.096575 -7.421502 -4.278400 0.239437 -0.286184 0.637586 0.707923 -0.102125
1716306542.296603 -7.423188 -4.271836 0.218172 -0.306590 0.626405 0.713698 -0.065236
1716306542.696660 -7.422496 -4.271957 0.191334 -0.325212 0.621615 0.711935 -0.031312
1716306543.096716 -7.418498 -4.323974 0.179916 -0.315677 0.622301 0.716260 0.007905
1716306543.496772 -7.405054 -4.392614 0.145724 -0.290027 0.635128 0.706860 0.113335
1716306544.096857 -7.344813 -4.384219 0.149802 -0.220838 0.650300 0.701758 0.189412
1716306544.696941 -7.196548 -4.301548 0.172897 -0.148415 0.684393 0.691858 0.175818
1716306545.096998 -7.104623 -4.276786 0.213246 -0.104694 0.705773 0.690539 0.118661
1716306545.497055 -7.034293 -4.297881 0.262896 -0.008164 0.703321 0.708356 0.059204
1716306545.897110 -6.994191 -4.368216 0.294481 0.053197 0.713639 0.698322 0.015326
1716306546.497195 -6.928997 -4.486126 0.324276 0.164220 0.691343 0.702873 -0.032342
1716306547.097280 -6.894309 -4.539045 0.343749 0.219867 0.671557 0.703968 -0.071403
1716306547.497338 -6.850646 -4.557932 0.347297 0.279735 0.643950 0.700726 -0.126728
1716306548.097421 -6.821861 -4.570591 0.344439 0.324111 0.623510 0.700429 -0.124847
1716306548.697507 -6.842416 -4.553762 0.345878 0.356540 0.613458 0.704406 0.019013
1716306549.297591 -6.875774 -4.525717 0.319716 0.290964 0.642641 0.696550 0.131035
1716306549.897676 -6.907507 -4.506279 0.279424 0.204398 0.667990 0.667276 0.258368
1716306550.497761 -6.879502 -4.512821 0.243852 0.133707 0.675461 0.658959 0.302735
1716306551.097846 -6.800235 -4.542049 0.202875 0.085030 0.686434 0.637638 0.339111
1716306551.497903 -6.808320 -4.579200 0.184255 0.042734 0.687125 0.635584 0.349379
1716306551.897960 -6.844429 -4.672512 0.174663 0.015803 0.683724 0.637947 0.353971
1716306552.298016 -6.858754 -4.782469 0.153964 0.030991 0.684173 0.607438 0.402450
1716306552.698073 -6.824991 -4.829460 0.157015 0.089767 0.676287 0.577110 0.448912
1716306553.098129 -6.791811 -4.835676 0.156897 0.111506 0.670740 0.561083 0.472081
1716306553.698215 -6.619639 -4.866513 0.170813 0.139783 0.670501 0.564666 0.460480
1716306554.098271 -6.485472 -4.887214 0.181499 0.201918 0.656604 0.562030 0.460676
1716306554.498329 -6.455797 -4.905103 0.224182 0.276439 0.643469 0.574693 0.423389
1716306555.098413 -6.478659 -4.906259 0.268724 0.322009 0.615859 0.615773 0.371283
1716306555.698498 -6.463677 -4.954274 0.306731 0.398310 0.568593 0.638894 0.331459
1716306556.298584 -6.475090 -4.981208 0.339915 0.452274 0.528943 0.643433 0.318844
1716306556.898668 -6.455419 -5.006373 0.358437 0.498882 0.484298 0.663865 0.275418
1716306557.498754 -6.338141 -4.937039 0.364385 0.501615 0.497796 0.682747 0.185575
1716306558.098839 -6.168058 -4.869328 0.353217 0.538570 0.441218 0.685099 0.214264
1716306558.498895 -6.092619 -4.804121 0.348160 0.529968 0.463940 0.653472 0.277252
1716306559.098980 -5.980474 -4.617973 0.316330 0.485462 0.506594 0.622372 0.346903
1716306559.699066 -5.770394 -4.437642 0.289174 0.413814 0.576610 0.579747 0.400216
1716306560.299152 -5.643068 -4.297391 0.242627 0.325035 0.644112 0.548417 0.422742
1716306560.899237 -5.679172 -4.117774 0.215270 0.281062 0.648148 0.534927 0.463424
1716306561.499322 -5.659800 -3.938748 0.172339 0.185623 0.682980 0.529685 0.467457
1716306561.899379 -5.589512 -3.813816 0.167373 0.116871 0.694954 0.563652 0.430902
1716306562.499465 -5.612045 -3.661771 0.157613 0.099570 0.721049 0.565444 0.387874
1716306563.099550 -5.561405 -3.461569 0.166469 0.116540 0.700439 0.577354 0.403070
1716306563.499607 -5.462248 -3.315099 0.172399 0.083616 0.687375 0.605708 0.391972
1716306564.099692 -5.481448 -3.096322 0.153260 0.046785 0.713897 0.601655 0.355210
1716306565.299863 -5.552680 -2.765570 0.075736 -0.182832 0.696776 0.588222 0.367520
1716306565.899948 -5.530908 -2.693434 0.092913 -0.186426 0.704067 0.603263 0.324975
1716306566.300007 -5.521894 -2.703568 0.165738 -0.114900 0.712180 0.649805 0.239482
1716306566.700062 -5.485821 -2.734236 0.239596 -0.035267 0.710445 0.684455 0.159830
1716306567.300148 -5.452822 -2.775872 0.308942 0.052942 0.699360 0.708561 0.077680
1716306567.900233 -5.437893 -2.810495 0.341105 0.102695 0.691463 0.714662 0.024318
1716306568.500318 -5.432043 -2.824205 0.370756 0.150728 0.682353 0.715299 -0.004846
1716306569.100404 -5.400444 -2.855098 0.397382 0.198846 0.670611 0.711206 -0.070198
1716306569.700489 -5.379006 -2.914070 0.408532 0.219628 0.670787 0.694035 -0.141857
